Test,Rate,Burst,RX,TX,RX Througput,TX Througput,Packet Loss,Avg RX TP,AVG PL,Avg TX TP,,,,,0.666666667
2,80,8,"8,881,268","218,759,568",0.303147281,7.466993254,0.959401693,0,0,0,,,,,
3,80,8,"5,802,371","261,934,080",0.198054263,8.940683264,0.977847972,0,0,0,,,,,
1,100,1,"45,670,155","45,690,868",1.558874624,1.559581628,0.000453329,0,0,0,,,,,
2,100,1,"43,775,465","43,782,525",1.494202539,1.49444352,0.000161252,0,0,0,,,,,
3,100,1,"41,905,926","41,912,669",1.430388941,1.430619102,0.000160882,0,0,0,,,,,
1,100,2,"37,517,333","89,731,184",1.280591633,3.062824414,0.581891921,0,0,0,,,,,
2,100,2,"38,098,446","88,892,974",1.300426957,3.034213513,0.571412179,0,0,0,,,,,
3,100,2,"36,544,676","91,199,802",1.247391607,3.112953242,0.599289963,0,0,0,,,,,
1,100,4,"25,877,448","124,690,632",0.883283558,4.256106906,0.792466783,0,0,0,,,,,
2,100,4,"25,406,183","125,771,184",0.867197713,4.292989747,0.797996789,0,0,0,,,,,
3,100,4,"19,758,634","150,302,516",0.674428041,5.130325879,0.868540897,0,0,0,,,,,
1,100,8,"6,767,837","244,563,048",0.231008836,8.347752038,0.972326821,0,0,0,,,,,
2,100,8,"5,369,580","270,326,656",0.183281664,9.227149858,0.980136698,0,0,0,,,,,
3,100,8,"8,263,521","229,589,632",0.282061517,7.836659439,0.96400743,0,0,0,,,,,
